bookName,author,email,id,authorUrl,pmUrl,bookUrl,followerCount,pageCount,viewCount,chaptersCount,lastUpdateDate,dataCollectionDate,actionPlanned
Nolaeja: Awakening,Aejorei,,32644,https://www.royalroad.com/profile/164804,https://www.royalroad.com/private/send/164804,https://www.royalroad.com/fiction/32644/nolaeja-awakening,1,17,31,1,MAY202020,15 Jun 2020 13:52:32 GMT,
Diary of the Night Demoness,Grims Reality,,33242,https://www.royalroad.com/profile/166880,https://www.royalroad.com/private/send/166880,https://www.royalroad.com/fiction/33242/diary-of-the-night-demoness,1,16,38,2,JUNE132020,15 Jun 2020 13:52:32 GMT,
The Lonely Medium,PJ_Lowry,,31809,https://www.royalroad.com/profile/86736,https://www.royalroad.com/private/send/86736,https://www.royalroad.com/fiction/31809/the-lonely-medium,1,15,104,3,MAY162020,15 Jun 2020 13:52:32 GMT,
Memories,________,,32883,https://www.royalroad.com/profile/147564,https://www.royalroad.com/private/send/147564,https://www.royalroad.com/fiction/32883/memories,1,15,62,3,JUNE022020,15 Jun 2020 13:52:32 GMT,
Gargoile found the library tower,ariesnightmare,,32719,https://www.royalroad.com/profile/56681,https://www.royalroad.com/private/send/56681,https://www.royalroad.com/fiction/32719/gargoile-found-the-library-tower,1,15,352,6,JUNE132020,15 Jun 2020 13:52:32 GMT,
A Sword in the Shadows,Viva_La_Vier,,33089,https://www.royalroad.com/profile/169194,https://www.royalroad.com/private/send/169194,https://www.royalroad.com/fiction/33089/a-sword-in-the-shadows,1,14,53,1,JUNE062020,15 Jun 2020 13:52:32 GMT,
Close Encounter,MattGoldwin,,33005,https://www.royalroad.com/profile/79126,https://www.royalroad.com/private/send/79126,https://www.royalroad.com/fiction/33005/close-encounter,1,14,26,1,JUNE032020,15 Jun 2020 13:52:32 GMT,
[French] PNJ Chaotique,Createur de CHAOS,,33207,https://www.royalroad.com/profile/169947,https://www.royalroad.com/private/send/169947,https://www.royalroad.com/fiction/33207/french-pnj-chaotique,1,14,41,2,JUNE102020,15 Jun 2020 13:52:32 GMT,
Ashes of Gods,Xion Draconi,,33113,https://www.royalroad.com/profile/169419,https://www.royalroad.com/private/send/169419,https://www.royalroad.com/fiction/33113/ashes-of-gods,1,14,127,3,JUNE092020,15 Jun 2020 13:52:32 GMT,
Map of Mercury: The Buried City,TwayneJustice,,32933,https://www.royalroad.com/profile/162251,https://www.royalroad.com/private/send/162251,https://www.royalroad.com/fiction/32933/map-of-mercury-the-buried-city,1,24,58,3,JUNE142020,15 Jun 2020 13:52:32 GMT,
